ref,pnl,pnl_comm,return_pct,bar_open,bar_close,size
1,-2506.678676999999,-2539.224782874899,0.0,73,88,0.0
2,-3998.4347159999934,-4042.3389835139933,0.0,121,126,0.0
3,-2487.122027999985,-2537.0481861143853,0.0,152,180,0.0
4,-1013.5877859999932,-1064.4911738985932,0.0,189,210,0.0
5,-3126.5930599999983,-3168.8723333749986,0.0,214,229,0.0
6,7244.246458000019,7190.206049867818,0.0,248,275,0.0
7,-1173.5589009999821,-1229.445638647882,0.0,316,350,0.0
8,-1777.270608000001,-1793.8624851522009,0.0,471,478,0.0
9,-3898.953771999996,-3926.6552046915963,0.0,546,560,0.0
10,-3638.7859079999935,-3677.8637407727933,0.0,656,663,0.0
11,4859.179829000011,4807.849462288711,0.0,695,721,0.0
12,-1945.9016239999721,-1998.1065538549722,0.0,730,749,0.0
13,-2686.1345700000015,-2705.7383603880016,0.0,799,803,0.0
14,-1751.427150000002,-1767.708652380002,0.0,810,814,0.0
15,-1176.6756359999833,-1225.0825788161833,0.0,864,878,0.0
16,-3517.8721719999976,-3560.088793113998,0.0,989,995,0.0
17,-2960.058935999994,-2994.195832460394,0.0,1002,1010,0.0
18,2020.0189849999888,1975.166001049089,0.0,1041,1069,0.0
19,-1244.2229800000036,-1271.8919570500036,0.0,1125,1135,0.0
20,-179.76914099999408,-222.32075754869408,0.0,1150,1154,0.0
